Price,Date,Depart_Time,Return_Time,Depart_Dirport,Return_Airport,Airline_Name,Flight_Type,flight_duration
$102,Sun 28 May,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$102,Mon 15 May,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,1h 50m
$102,Sat 20 May,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,1h 50m
$102,Wed 17 May,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,1h 50m
$102,Fri 5 May,11:25Madrid,12:20Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 55m
$102,Wed 3 May,11:25Madrid,12:20Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 55m
$95,Fri 14 Apr,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,2h 50m
$104,Tue 9 May,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,1h 50m
$104,Sat 13 May,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,1h 50m
$104,Wed 10 May,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,1h 50m
$104,Sun 14 May,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,1h 50m
$106,Thu 1 Jun,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,1h 50m
$106,Thu 25 May,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,1h 50m
$100,Tue 28 Mar,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,2h 50m
$100,Mon 17 Apr,11:25Madrid,12:20Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,2h 55m
$102,Tue 21 Mar,11:15Madrid,13:05Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,2h 50m
$102,Wed 12 Apr,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,2h 50m
$104,Tue 18 Apr,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,2h 50m
$104,Mon 17 Apr,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,2h 50m
